,id,cluster,x,y,z
0,world/2017/jun/07/wednesday-briefing-i-am-going-to-be-a-terrorist,1,0.1808584132790911,-0.03790649811478905,0.05338375295453435
1,world/2017/jun/02/rock-am-ring-festival-in-germany-evacuated-over-terrorist-threat,1,0.10158844043283083,-0.030418579955433428,0.07614640787437064
2,uk-news/2017/may/28/race-to-find-manchester-terrorist-network,1,0.18143818399566855,-0.0635186328516644,0.1400203607497768
3,uk-news/2017/may/24/bombers-father-fought-against-gaddafi-regime-with-terrorist-group,1,0.08934829903859068,-0.023130540540165438,0.048948534691676794
4,world/2017/apr/11/stockholm-attack-suspect-rakhmat-akilov-admits-terrorist,1,0.10287271868142889,-0.02810580578654356,0.08085933462070061
5,uk-news/2017/mar/23/westminster-attack-police-arrest-seven-people-in-raids-at-six-addresses,1,0.1585010391205928,-0.05679423465218555,0.12753061498818385
6,uk-news/2017/feb/03/royal-marine-pleads-guilty-preparing-terrorist-attack-ciaran-maxwell,3,0.1194587989620463,-0.04376315017231802,0.05045023569685139
7,uk-news/2017/jun/07/two-australians-killed-in-london-bridge-terrorist-attack-government-confirms,1,0.10860538127977333,-0.02648919980749869,0.05533212322293361
8,uk-news/2017/jun/04/met-police-use-run-hide-tell-warning-for-first-time-after-london-terrorist-attack,1,0.13549227251330326,-0.04503079399074997,0.11151265086188922
9,uk-news/2017/jun/04/it-was-a-rampage-witnesses-describe-horror-of-london-terrorist-attacks,1,0.14329659306839,-0.044233668338018346,0.09706570574682905
10,world/2017/jun/04/sunday-briefing-terrorists-strike-at-heart-of-london,1,0.1327840417156433,-0.03516236815448785,0.08879347684699854
11,uk-news/2017/may/25/salman-abedi-had-connections-to-gangs-and-terrorists-in-manchester,1,0.14441382467739772,-0.0372415153606196,0.09078643195562078
12,uk-news/2017/apr/28/willesden-armed-raid-was-to-foil-active-terrorist-plot-say-police,1,0.1318182546208942,-0.05287840848918009,0.11056780230618493
13,world/2016/dec/19/berlin-truck-crashes-into-christmas-market,1,0.151766783005952,-0.03242413462188911,0.11596934831268788
14,uk-news/2016/dec/12/convicted-terrorist-says-mi5-pumped-and-dumped-him,1,0.10427034689178938,-0.03604418474004421,0.08079017754622979
